"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"13.01.20","Ausgabe","Girokarte","Lebensmittel","8.25","EUR","8.25","EUR","",""
"13.01.20","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"13.01.20","Ausgabe","Girokarte","Allgemein","11","EUR","11","EUR","","Taxi"
"11.01.20","Ausgabe","Girokarte","Allgemein","70","EUR","70","EUR","","Papa Umzug Sultana ausgeführt"
"11.01.20","Ausgabe","Girokarte","Allgemein","48.72","EUR","48.72","EUR","","Umzug"
"11.01.20","Ausgabe","Girokarte","Allgemein","15","EUR","15","EUR","","Umzug"
"11.01.20","Ausgabe","Girokarte","Allgemein","26.9","EUR","26.9","EUR","",""
"11.01.20","Ausgabe","Girokarte","Abonnenements ","5","EUR","5","EUR","","Medium"
"10.01.20","Ausgabe","Girokarte","Freizeit","4","EUR","4","EUR","",""
"10.01.20","Ausgabe","Girokarte","Allgemein","10.49","EUR","10.49","EUR","","Umzug"
"10.01.20","Ausgabe","Girokarte","Lebensmittel","2.2","EUR","2.2","EUR","",""
"10.01.20","Ausgabe","Girokarte","Allgemein","89.99","EUR","89.99","EUR","","Koffer"
"09.01.20","Ausgabe","Girokarte","Freizeit","23.8","EUR","23.8","EUR","",""
"08.01.20","Ausgabe","Girokarte","Freizeit","15","EUR","15","EUR","",""
"08.01.20","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.95","EUR","5.95","EUR","",""
"08.01.20","Einnahme","Girokarte","Papa","314","EUR","314","EUR","",""
"08.01.20","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"08.01.20","Einnahme","Girokarte","BAFöG","336","EUR","336","EUR","",""
"08.01.20","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"07.01.20","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"07.01.20","Ausgabe","Girokarte","Weiterbildung","67.8","EUR","67.8","EUR","","Bachelorarbeit"
"07.01.20","Ausgabe","Girokarte","Allgemein","5.99","EUR","5.99","EUR","","Usbstick"
"07.01.20","Ausgabe","Girokarte","Allgemein","18.49","EUR","18.49","EUR","","Umzug"
"07.01.20","Ausgabe","Girokarte","Miete","60","EUR","60","EUR","","Nebenkosten"
"07.01.20","Ausgabe","Girokarte","Miete","232","EUR","232","EUR","","Miete"
"06.01.20","Ausgabe","Girokarte","Freizeit","6.5","EUR","6.5","EUR","",""
"06.01.20","Ausgabe","Girokarte","Mensa (Lebensmittel)","13","EUR","13","EUR","",""
"06.01.20","Ausgabe","Girokarte","Allgemein","7.5","EUR","7.5","EUR","","Drucken"
"06.01.20","Ausgabe","Girokarte","Gesundheit","11.97","EUR","11.97","EUR","",""
"06.01.20","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.01.20","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.01.20","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"05.01.20","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"05.01.20","Ausgabe","Girokarte","Freizeit","27","EUR","27","EUR","",""
"04.01.20","Ausgabe","Girokarte","Freizeit","7","EUR","7","EUR","",""
"04.01.20","Ausgabe","Girokarte","Lebensmittel","3.48","EUR","3.48","EUR","",""
"03.01.20","Ausgabe","Girokarte","Weiterbildung","17.24","EUR","17.24","EUR","",""
"03.01.20","Ausgabe","Girokarte","Lebensmittel","3.8","EUR","3.8","EUR","",""
"03.01.20","Ausgabe","Girokarte","Kleidung (Allgemein)","50.9","EUR","50.9","EUR","","Schuhe"
"03.01.20","Ausgabe","Girokarte","Kleidung (Allgemein)","64.98","EUR","64.98","EUR","",""
"03.01.20","Ausgabe","Girokarte","Allgemein","0.8","EUR","0.8","EUR","",""
"03.01.20","Ausgabe","Girokarte","Allgemein","18.49","EUR","18.49","EUR","","UMZUGSKISTE"
"03.01.20","Ausgabe","Girokarte","Reisen","20.9","EUR","20.9","EUR","","Dd Frankfurt "
"03.01.20","Ausgabe","Girokarte","Miete","9.23","EUR","9.23","EUR","",""
"02.01.20","Ausgabe","Girokarte","Lebensmittel","31.87","EUR","31.87","EUR","",""
"02.01.20","Ausgabe","Girokarte","Kleidung (Allgemein)","10","EUR","10","EUR","",""
"02.01.20","Ausgabe","Girokarte","Allgemein","0.5","EUR","0.5","EUR","",""
"02.01.20","Ausgabe","Girokarte","Allgemein","52.9","EUR","52.9","EUR","","Festplatte"
"02.01.20","Ausgabe","Girokarte","Allgemein","59.99","EUR","59.99","EUR","","Portemonnaie"
"02.01.20","Ausgabe","Girokarte","Lebensmittel","4.3","EUR","4.3","EUR","",""
"02.01.20","Ausgabe","Girokarte","Allgemein","16.95","EUR","16.95","EUR","","Pickelcreme"
"01.01.20","Ausgabe","Girokarte","Allgemein","25.67","EUR","25.67","EUR","","Plagiatsprüfung scribdr"
"01.01.20","Ausgabe","Girokarte","Allgemein","26.41","EUR","26.41","EUR","","Grammarly.com for bachelor thsis"
"31.12.19","Ausgabe","Girokarte","Freizeit","16.49","EUR","16.49","EUR","",""
"30.12.19","Ausgabe","Girokarte","Reisen","26.9","EUR","26.9","EUR","",""
"30.12.19","Ausgabe","Girokarte","Weiterbildung","9.9","EUR","9.9","EUR","",""
"28.12.19","Ausgabe","Girokarte","Reisen","4.8","EUR","4.8","EUR","",""
"27.12.19","Ausgabe","Girokarte","Allgemein","44","EUR","44","EUR","","Geschenke"
"27.12.19","Ausgabe","Girokarte","Freizeit","3.6","EUR","3.6","EUR","",""
"27.12.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"25.12.19","Ausgabe","Girokarte","Schulden","30.17","EUR","30.17","EUR","","Flixbus"
